filename,operator,time,test,Geno,plant,plot,whirl_id,line_raw_slope (N/m),line_push_slope (N/m),ransac_slope(N/m),ratio captured,points
./data/SecondSet/2080_1_5_23_59_45(2).csv,JR,12PM,blue,CML258,3,Plot B,1383,316.7014486,292.3953672,274.4180509,0.631578947,19
./data/SecondSet/2019_9_2_15_39_11.csv,JR,12PM,red,CML258,3,Plot B,1383,282.9014454,228.4903961,275.0616846,0.882352941,17
./data/SecondSet/2019_9_2_15_45_7.csv,JR,12PM,black,CML258,3,Plot B,1383,292.8865726,292.0039505,301.4302645,0.882352941,17
./data/SecondSet/2080_1_5_23_59_47.csv,JR,12PM,blue,CML258,4,Plot B,1383,268.6819516,276.9985382,458.1060296,0.5,18
./data/SecondSet/2019_9_2_15_39_31.csv,JR,12PM,red,CML258,4,Plot B,1383,274.4774213,280.2478367,295.8182788,0.789473684,19
./data/SecondSet/2019_9_2_15_45_26.csv,JR,12PM,black,CML258,4,Plot B,1383,275.4982753,277.8522169,445.7098778,0.777777778,18
./data/SecondSet/2080_1_5_23_59_45(3).csv,JR,12PM,blue,CML258,5,Plot B,1383,221.9479013,182.1204615,228.7247044,0.8125,16
./data/SecondSet/2019_9_2_15_40_12.csv,JR,12PM,red,CML258,5,Plot B,1383,219.1590372,148.4240276,195.8665464,0.764705882,17
./data/SecondSet/2019_9_2_15_45_45.csv,JR,12PM,black,CML258,5,Plot B,1383,204.4757569,175.4131674,192.0320976,0.789473684,19
./data/SecondSet/2080_1_5_23_59_43.csv,JR,12PM,blue,CML258,6,Plot B,1383,235.6636165,201.5648597,198.7291212,0.866666667,15
./data/SecondSet/2019_9_2_15_40_46.csv,JR,12PM,red,CML258,6,Plot B,1383,236.8875642,221.8863151,232.9504811,0.789473684,19
./data/SecondSet/2019_9_2_15_46_5.csv,JR,12PM,black,CML258,6,Plot B,1383,274.1000256,233.8991606,242.2153043,0.882352941,17
./data/SecondSet/2080_1_5_23_59_45(4).csv,JR,12PM,blue,CML258,7,Plot B,1383,230.3636327,223.3572581,343.444434,0.8,15
./data/SecondSet/2019_9_2_15_41_17.csv,JR,12PM,red,CML258,7,Plot B,1383,280.4266156,279.3255172,266.1641632,0.8125,16
./data/SecondSet/2019_9_2_15_46_28.csv,JR,12PM,black,CML258,7,Plot B,1383,265.7649737,248.5651853,288.7381682,0.789473684,19
./data/SecondSet/2080_1_5_23_59_45(5).csv,JR,12PM,blue,CML258,8,Plot B,1383,216.130182,197.4250817,209.8379207,0.875,16
./data/SecondSet/2019_9_2_15_41_36.csv,JR,12PM,red,CML258,8,Plot B,1383,251.7007406,239.6034095,260.4881073,0.904761905,21
./data/SecondSet/2019_9_2_15_46_45.csv,JR,12PM,black,CML258,8,Plot B,1383,257.9825442,255.389988,312.3798564,0.85,20
./data/SecondSet/2080_1_5_23_59_43(2).csv,JR,12PM,blue,CML258,9,Plot B,1383,163.266186,144.6123868,108.1360947,0.5625,16
./data/SecondSet/2019_9_2_15_41_57.csv,JR,12PM,red,CML258,9,Plot B,1383,206.0565804,189.4496602,271.24028,0.6,20
./data/SecondSet/2019_9_2_15_47_13.csv,JR,12PM,black,CML258,9,Plot B,1383,180.3435664,171.3834995,216.5526438,0.833333333,18
./data/SecondSet/2080_1_5_23_59_46.csv,JR,12PM,blue,CML258,10,Plot B,1383,196.853614,171.3016331,222.80866,0.882352941,17
./data/SecondSet/2019_9_2_15_42_34.csv,JR,12PM,red,CML258,10,Plot B,1383,230.9774244,180.4078505,189.3273694,0.75,20
./data/SecondSet/2019_9_2_15_47_35.csv,JR,12PM,black,CML258,10,Plot B,1383,239.9702903,203.7642383,247.3471534,0.8,20
./data/SecondSet/2080_1_5_23_59_44.csv,JR,12PM,blue,CML258,11,Plot B,1383,96.62944867,76.79196479,81.3111238,0.777777778,18
./data/SecondSet/2019_9_2_15_43_3.csv,JR,12PM,red,CML258,11,Plot B,1383,103.2779261,96.42472191,68.0618339,0.761904762,21
./data/SecondSet/2019_9_2_15_48_13.csv,JR,12PM,black,CML258,11,Plot B,1383,95.58114019,85.2691595,102.8568044,0.857142857,21
./data/ThirdSet/2080_1_5_23_59_46(2).csv,JR,4PM,blue,CML258,1,Plot B,1383,292.9009438,237.1237161,178.0201567,0.8,15
./data/ThirdSet/2080_1_5_23_59_43(7).csv,JR,4PM,red,CML258,1,Plot B,1383,214.2337695,231.0554667,351.810406,0.615384615,13
./data/ThirdSet/2019_9_2_19_48_11.csv,JR,4PM,black,CML258,1,Plot B,1383,258.2643349,241.3869409,221.1676389,0.571428571,14
./data/ThirdSet/2080_1_5_23_59_44(2).csv,JR,4PM,blue,CML258,2,Plot B,1383,190.3566255,159.5418307,198.7340548,0.714285714,14
./data/ThirdSet/2019_9_2_19_44_2.csv,JR,4PM,red,CML258,2,Plot B,1383,170.1743205,121.2538935,22.5609632,0.384615385,13
./data/ThirdSet/2019_9_2_19_49_30.csv,JR,4PM,black,CML258,2,Plot B,1383,189.0183272,147.6541637,187.0078641,0.866666667,15
